uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
spotify:track:4ZJPwET9Jrgpkqi4Vo3Yg8,0.656,0.615,-6.252,0.0539,0.0283,0.0,0.234,0.366,139.91
spotify:track:5F0bmCjKUufNz1bHXfgRwe,0.536,0.974,-2.833,0.0969,0.0065,0.00102,0.357,0.481,135.997
spotify:track:2fh3bZ8jZhMxOcfESE9nQY,0.559,0.895,-4.476,0.0832,0.0154,0.0,0.175,0.59,183.825
spotify:track:2S4CfxZG29GZWwDeMtBq2R,0.669,0.667,-3.0,0.0511,0.00769,0.0,0.0983,0.69,128.103
spotify:track:0YHUITU3w6ws1v8ehT264g,0.774,0.739,-4.022,0.0952,0.0316,5.95e-06,0.119,0.823,126.002
spotify:track:79cuOz3SPQTuFrp8WgftAu,0.857,0.8,-4.035,0.0583,0.381,0.0,0.0913,0.966,121.996
spotify:track:6kex4EBAj0WHXDKZMEJaaF,0.696,0.817,-3.862,0.109,0.075,0.0,0.187,0.782,98.064
spotify:track:4Tn2llBm1g0UlWctmgPL8Z,0.735,0.826,-4.902,0.0349,0.00101,0.129,0.197,0.74,132.964
spotify:track:7kMfu3KUydmrFVGEAhjtyl,0.594,0.874,-3.716,0.0815,0.0116,0.0,0.549,0.628,119.964
spotify:track:5619Ojc6t9evEEs3B7Drhe,0.618,0.955,-3.836,0.0798,0.00221,3.09e-06,0.486,0.79,150.034
spotify:track:6uBhi9gBXWjanegOb2Phh0,0.69,0.622,-5.025,0.0622,0.253,0.0,0.116,0.544,102.04
spotify:track:0EGuSSpuu9wmHCtvb4PdLO,0.655,0.74,-4.081,0.274,0.14,0.0,0.106,0.543,182.105
spotify:track:5BJSZocnCeSNeYMj3iVqM7,0.719,0.935,-3.752,0.0589,0.167,0.0,0.0973,0.738,120.022
spotify:track:41Fflg7qHiVOD6dEPvsCzO,0.884,0.765,-3.865,0.0882,0.063,7.04e-06,0.118,0.594,99.987
spotify:track:2WWP0IPX9xFjAMraNHX390,0.451,0.939,-2.546,0.116,0.00219,0.00223,0.366,0.192,80.098
spotify:track:3D4Xkcir5YEhk8Xidkd1dL,0.492,0.932,-2.401,0.203,0.00711,0.0,0.177,0.635,151.166
spotify:track:3znPiywA0q1VK2jgAZFDoI,0.484,0.938,-3.123,0.112,0.0706,0.0,0.236,0.444,165.049
spotify:track:5PUawWFG1oIS2NwEcyHaCr,0.623,0.962,-2.616,0.0895,0.103,0.000174,0.264,0.676,149.963
spotify:track:1oagRT7LfpVlNJN6FSZDGp,0.435,0.887,-4.07,0.0636,0.000747,0.0,0.0327,0.408,199.935
spotify:track:5MsZIaCYY6Tsdph0LiB0hE,0.552,0.915,-3.713,0.0559,0.0013,3.74e-05,0.206,0.606,90.013
spotify:track:49nmsafpkJp2lDj9b4jkxh,0.511,0.95,-3.833,0.184,0.0612,0.0,0.203,0.539,151.943
