uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
spotify:track:0r4SsYcwvd8URat6AS2m6f,0.694,0.712,-3.923,0.046,0.133,0.0,0.211,0.799,98.022
spotify:track:25m19zhHrwmIofXBx2XQqk,0.596,0.917,-3.061,0.197,0.03,0.0,0.113,0.707,159.974
spotify:track:5EQ9yEra0SzVd673ZfKT4C,0.553,0.936,-5.015,0.11,0.00338,1.35e-06,0.102,0.412,144.884
spotify:track:32OlwWuMpZ6b0aN2RZOeMS,0.856,0.609,-7.223,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988
spotify:track:42ftjU4cTN5UTRksyqBKZJ,0.771,0.76,-5.459,0.0514,0.147,0.0,0.053,0.881,119.0
spotify:track:3lyg9qZAo3YsuylHXGBCkY,0.556,0.728,-5.32,0.027,0.292,0.0,0.329,0.546,88.004
spotify:track:4pYnJe4q6HXZ3XZj80irbY,0.648,0.849,-5.901,0.0511,0.0556,0.0,0.304,0.82,151.966
spotify:track:7dyluIqv7QYVTXXZiMWPHW,0.685,0.803,-4.251,0.156,0.0601,0.0,0.546,0.799,107.005
spotify:track:39sUeHQoIGY6BEIcgTMRXW,0.658,0.91,-3.499,0.316,0.00195,1.54e-05,0.158,0.494,92.332
spotify:track:7rqMFBawnvxyyj3nA1iaUV,0.647,0.8,-5.384,0.165,0.0647,0.0,0.334,0.942,160.078
spotify:track:05BgC2247XGi8ySwBzOO0o,0.54,0.766,-4.478,0.05,0.606,0.0,0.0903,0.435,139.999
spotify:track:3zSCNTXI7Ed0PiidZVmzIe,0.778,0.549,-6.144,0.0473,0.0549,0.0,0.0724,0.802,133.041
spotify:track:4orphgwPHHRsdEkfUmANSD,0.753,0.796,-6.406,0.0576,0.0378,0.0,0.331,0.605,122.025
spotify:track:4kbj5MwxO1bq9wjT5g9HaA,0.578,0.866,-3.804,0.0619,0.00701,0.0,0.257,0.619,128.038
spotify:track:6VZCuvHwk3xmjwgKga0bNi,0.625,0.569,-5.954,0.0271,0.26,0.0,0.127,0.361,149.987
spotify:track:00pFKTsXTYfLwGlNnUYETw,0.285,0.511,-2.981,0.0304,0.657,0.0,0.111,0.138,152.05
spotify:track:3GAf6qSgBHm3t80FYD7tyh,0.598,0.82,-2.469,0.0566,0.0284,0.0,0.119,0.55,119.975
spotify:track:55h7vJchibLdUkxdlX3fK7,0.874,0.692,-5.28,0.0431,0.0412,7.24e-05,0.324,0.937,116.017
spotify:track:0B84P27yShVnMsodp7OmkY,0.499,0.786,-4.802,0.099,0.0744,0.0,0.229,0.499,174.012
spotify:track:21ixeD8mGouF993kgb4MER,0.638,0.879,-6.534,0.0425,0.0697,0.0,0.414,0.778,101.999
spotify:track:3w3y8KPTfNeOKPiqUTakBh,0.726,0.698,-4.165,0.0431,0.049,0.0,0.309,0.867,143.994
spotify:track:3VA8T3rNy5V24AXxNK5u9E,0.676,0.762,-4.172,0.0351,0.461,0.0,0.0574,0.81,119.003
spotify:track:2SkJKMfjpYsNv0KWOxiegX,0.709,0.913,-5.148,0.0748,0.0182,0.0,0.167,0.519,108.024
spotify:track:2XW4AAjfBQTzp7Oe1tU702,0.693,0.664,-5.852,0.0336,0.0309,0.0,0.223,0.436,132.059
spotify:track:5zgdTSRKmVT5z4574iK06y,0.676,0.822,-5.458,0.0372,0.359,1.2e-06,0.162,0.772,97.994
spotify:track:0mvkwaZMP2gAy2ApQLtZRv,0.532,0.795,-3.979,0.0358,0.0559,0.0,0.295,0.78,143.837
spotify:track:4fIWvT19w9PR0VVBuPYpWA,0.615,0.733,-4.808,0.0335,0.152,0.0,0.109,0.796,122.58
spotify:track:7LcfRTgAVTs5pQGEQgUEzN,0.722,0.758,-4.477,0.0471,0.0111,0.0,0.308,0.62,128.047
spotify:track:0fYVliAYKHuPmECRs1pbRf,0.526,0.862,-6.003,0.0905,0.0144,0.0597,0.229,0.528,90.052
spotify:track:7CffDhV6kJPSYrj6ZKg1LB,0.828,0.635,-6.441,0.15,0.0285,4.24e-06,0.109,0.782,100.062
spotify:track:0AXym3uMYhCOngivsnwjkz,0.754,0.716,-5.141,0.0349,0.00606,0.000898,0.0971,0.571,99.976
spotify:track:3xkxcbnc7G3XYuZt6eUnI5,0.503,0.955,-1.533,0.381,0.0265,0.0,0.265,0.818,173.521
spotify:track:2Y2ud3awMZHDxOCpDebiv3,0.583,0.829,-4.603,0.134,0.00864,0.0,0.0426,0.575,174.028
spotify:track:0hO71r8vbnrXSaXVrR9ptF,0.666,0.812,-4.07,0.0647,0.0597,0.0,0.0603,0.868,145.059
spotify:track:7pNC5ZIKtwUK0ReSpM3P9f,0.743,0.72,-3.753,0.124,0.192,0.000386,0.109,0.519,163.99
spotify:track:5PXSB2YH4hXU3WcPAoY9zz,0.912,0.716,-4.141,0.0697,0.0904,0.0,0.0491,0.377,94.981
spotify:track:7ySLi5P41rMCtEqJQ9M51t,0.472,0.774,-3.685,0.0626,0.106,0.000201,0.658,0.208,136.246
spotify:track:2xSExwwFXzukzOdR6iVYMk,0.739,0.597,-5.335,0.0801,0.0997,0.0,0.119,0.787,104.991
spotify:track:5k5fWendNngd89O8JKoE8L,0.756,0.789,-7.002,0.0324,0.53,0.000711,0.157,0.873,127.987
spotify:track:6Z8R6UsFuGXGtiIxiD8ISb,0.655,0.819,-4.852,0.0316,0.000176,0.00374,0.104,0.766,117.956
spotify:track:2xLOMHjkOK8nzxJ4r6yOKR,0.719,0.674,-5.122,0.0681,0.0879,3.75e-06,0.112,0.843,125.98
spotify:track:5x9VIW2fS21JMswOt6AORI,0.713,0.781,-4.859,0.121,0.0353,0.0,0.155,0.8,102.078
spotify:track:0n4bITAu0Y0nigrz3MFJMb,0.853,0.599,-4.756,0.0411,0.00334,7.93e-06,0.0759,0.843,119.993
spotify:track:16rzBmxDZY8ZGGK2lWTPtf,0.691,0.901,-1.872,0.363,0.0171,1.92e-05,0.076,0.757,173.415
spotify:track:3nlkoGQUE07Um35KWAg3x3,0.632,0.701,-5.756,0.0566,0.209,0.0,0.0984,0.644,88.006
spotify:track:1TwLKNsCnhi1HxbIi4bAW0,0.747,0.861,-5.251,0.0514,0.113,0.0,0.026,0.859,103.966
spotify:track:1MLiJQozVUdCCNudp1cDbn,0.644,0.777,-6.971,0.0997,0.0621,1.83e-06,0.0792,0.599,170.021
spotify:track:2Fk0WwAqTBesLtKg97nojy,0.69,0.781,-5.101,0.0305,0.0873,2.28e-06,0.164,0.841,130.02
spotify:track:1YDprEDVX5H0WQj9aBiEdA,0.501,0.9,-4.366,0.0433,0.0586,0.0,0.218,0.943,160.096
spotify:track:0gRczqVHrEQQDyizJUtgRc,0.761,0.856,-3.65,0.0731,0.02,0.0,0.149,0.967,106.009
spotify:track:52VJwrmQflskeWoV0OmEEh,0.771,0.913,-2.884,0.0505,0.128,0.0,0.0732,0.924,110.584
