uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
spotify:track:0Yz3F0UGDibDe8uU69zmjn,0.734,0.852,-3.85,0.0916,0.0401,0.0,0.196,0.787,98.504
spotify:track:6z1kLsntE7FuzKZHZWrXYN,0.463,0.566,-6.195,0.145,0.196,0.0,0.284,0.219,93.921
spotify:track:2jiI8bNSDu7UxTtDCOqh3L,0.686,0.73,-5.673,0.153,0.18,0.0,0.341,0.576,109.93
spotify:track:5Nf0kax3dsrNjsYQB8tyQS,0.724,0.483,-7.955,0.0489,0.801,0.0,0.133,0.419,90.0
spotify:track:431fVJWWDSPmpdcNhmNQ3u,0.839,0.52,-4.425,0.047,0.573,0.0,0.0724,0.895,88.974
spotify:track:7zZnCBlFyAESht9EYLC08n,0.651,0.509,-7.023,0.288,0.474,0.0,0.0799,0.386,100.106
spotify:track:6GS3lnAVy5w6AHWEKYzYeS,0.632,0.531,-5.669,0.0333,0.249,0.0,0.346,0.511,95.061
spotify:track:7F9gR7qPem6WPhoPnJT1Ay,0.83,0.601,-5.828,0.0505,0.121,0.0,0.0731,0.901,125.018
spotify:track:1K3N3pF1uu1WPRD2QFEz06,0.351,0.577,-8.326,0.119,0.611,0.000165,0.205,0.444,175.658
spotify:track:12XPa1Q3JzQchPjmRxPjXg,0.674,0.585,-4.703,0.117,0.19,0.0,0.0735,0.641,92.184
spotify:track:5r7hf1fZOTalt5DaAIcfEf,0.577,0.733,-7.245,0.107,0.561,3.75e-05,0.0897,0.388,79.967
spotify:track:3VZEykkQLXEsaGaO9eFJOp,0.777,0.79,-6.213,0.125,0.283,0.0,0.0907,0.439,110.048
spotify:track:4jgjX77dDvKNMOyqQZxX9B,0.856,0.434,-7.581,0.145,0.786,1.13e-06,0.0966,0.728,97.036
spotify:track:3mNbGPCLCxia3yvwWp2P51,0.728,0.503,-7.147,0.08,0.777,2.57e-06,0.249,0.267,120.032
spotify:track:7uQ0QBWGiVsfWcWxikYsWV,0.809,0.373,-7.04,0.0913,0.539,0.0,0.294,0.438,85.999
spotify:track:12AZFn9F5h9tlxMEbdZEwm,0.732,0.354,-8.361,0.0365,0.439,1.86e-05,0.128,0.554,87.991
