uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
spotify:track:35r28RDot7nPE7y9K9H7l0,0.412,0.227,-12.696,0.0359,0.787,4.69e-06,0.282,0.226,80.111
spotify:track:3lOVldpv6shpWDfsypnHDv,0.495,0.516,-8.715,0.577,0.724,0.0,0.26,0.615,130.601
spotify:track:3jZDWsoxRHzzp3DYV8qeXE,0.451,0.143,-15.685,0.235,0.956,0.0,0.195,0.233,149.509
spotify:track:4CALLtGlZBwdpfQvMQvhH2,0.657,0.159,-15.618,0.0395,0.725,0.73,0.279,0.0833,100.018
spotify:track:5s6QMzY5oeVaOVJJsb59Tj,0.944,0.541,-9.61,0.166,0.0879,0.000119,0.033,0.724,134.942
spotify:track:2H3wWrnO758y0fPH7Ilerg,0.769,0.156,-10.7,0.035,0.585,0.015,0.102,0.527,105.95
spotify:track:4ZLzoOkj0MPWrTLvooIuaa,0.498,0.235,-16.541,0.188,0.72,0.0,0.144,0.0895,118.917
spotify:track:0ASYuzPsTBA6ZmIsuvNZby,0.783,0.319,-16.088,0.285,0.909,0.157,0.326,0.525,80.102
spotify:track:3NsuucK8qXpIJf7KPZX7vq,0.895,0.109,-13.853,0.0996,0.534,0.549,0.106,0.546,134.067
spotify:track:5qbWgH6xs6CUkua6tG2BNP,0.86,0.302,-19.123,0.148,0.862,0.269,0.168,0.935,113.987
spotify:track:6vJ6FR4WtlKSxe8lmh3F1C,0.695,0.253,-15.884,0.0461,0.685,0.14,0.105,0.264,120.033
spotify:track:0f0gfm6wHjhqrBMHBn9Ajr,0.774,0.352,-13.13,0.214,0.105,0.741,0.348,0.258,80.51
spotify:track:49gXK8uoqUEHgzzHdkELMh,0.927,0.198,-13.635,0.0922,0.51,0.118,0.224,0.764,113.952
spotify:track:7zlGyAsvNMOdhTU068f79f,0.737,0.241,-16.034,0.0882,0.51,0.00572,0.108,0.345,100.0
spotify:track:5p684vIzF5LOkmHL3I0tyM,0.578,0.288,-17.204,0.0589,0.97,0.633,0.125,0.276,94.983
spotify:track:6hSDQ1YAEWW53L1FI2mRN8,0.731,0.0727,-19.808,0.0531,0.655,0.604,0.111,0.254,179.98
spotify:track:57AfKceixMbhXuEV6WxClD,0.61,0.142,-18.548,0.314,0.692,0.162,0.0897,0.228,99.505
spotify:track:7eJMfftS33KTjuF7lTsMCx,0.726,0.431,-8.765,0.135,0.731,0.0,0.696,0.348,144.026
spotify:track:68RI4I6SKm57SxjG06OYvN,0.521,0.0889,-19.457,0.0507,0.988,0.182,0.0965,0.0479,115.43
spotify:track:2TI2fw9FWPeah6N4k1b4NU,0.81,0.266,-12.478,0.0407,0.56,1.05e-06,0.0962,0.212,130.041
spotify:track:7EEWrNYg7DudJYzN6vHPWv,0.545,0.511,-11.14,0.214,0.654,0.0,0.0549,0.544,127.519
spotify:track:1AwkFMNoXDE0voOjqzcd69,0.732,0.515,-14.429,0.341,0.805,2.62e-06,0.231,0.753,93.002
spotify:track:49hZWqLWPcMbJA7Q2M3x6g,0.898,0.227,-12.528,0.263,0.804,0.0058,0.648,0.536,115.991
spotify:track:0KTdKLiwmurQgFT7Y9mOM7,0.814,0.333,-11.56,0.189,0.874,3.54e-06,0.615,0.387,99.994
spotify:track:4FSVjyBppXvwdeNijV73Nh,0.73,0.224,-16.777,0.0391,0.813,0.864,0.123,0.223,133.211
spotify:track:5cSilbhfdziKRjljhunRbz,0.675,0.43,-8.29,0.08,0.265,0.00613,0.0678,0.22,78.042
spotify:track:7pdF27mSDuPWhppnHAmWHa,0.735,0.525,-2.939,0.0441,0.653,0.918,0.101,0.369,160.147
spotify:track:47EWMOElkkbMp5m9SBkx7d,0.629,0.306,-11.735,0.0424,0.884,0.0776,0.124,0.191,76.994
spotify:track:4P1L6AniTDJzANaubzWGYs,0.698,0.183,-20.188,0.299,0.462,0.000424,0.335,0.244,143.96
spotify:track:2MXxEGl4WdiOqUjhzDjCmh,0.841,0.403,-12.39,0.375,0.797,0.0,0.0871,0.373,110.062
spotify:track:31rGOpQsY2mNOtyYsTHBtX,0.681,0.461,-12.718,0.281,0.454,0.0,0.212,0.335,91.311
spotify:track:6EUMXzizgZAFOhll8tKXyB,0.425,0.21,-12.242,0.0451,0.776,0.902,0.0992,0.311,158.846
spotify:track:6zJffE1wHyAu5WwNYwt0VI,0.835,0.283,-10.121,0.0781,0.625,3.4e-06,0.102,0.282,86.983
spotify:track:0M3HkE321xpCbCYqVKzr1q,0.576,0.835,-6.826,0.0486,0.337,0.0,0.082,0.476,150.017
spotify:track:6tAqYm2Wcy2yrPixShJMS6,0.87,0.341,-14.15,0.439,0.481,0.0027,0.329,0.436,119.054
spotify:track:1FZNiU5U4xXuGQMpO6OdGz,0.564,0.374,-14.132,0.459,0.759,0.0,0.0989,0.277,97.387
spotify:track:1A43TfohQt3H6K5zg28ExD,0.793,0.441,-10.297,0.579,0.867,0.0,0.111,0.753,74.746
spotify:track:19NEYj0nF2FHMr9X2HYxQd,0.703,0.39,-16.091,0.454,0.416,0.0,0.178,0.624,79.884
spotify:track:2c9iVAV8Vte2POKrVZFC02,0.911,0.255,-15.257,0.153,0.499,0.000246,0.0937,0.244,137.994
spotify:track:7uHRKSQ9WIlBBuBY7BHcbq,0.613,0.339,-14.908,0.135,0.678,0.0,0.166,0.292,106.582
spotify:track:6N9PAzBK1VwLR3kUpifP2A,0.763,0.436,-10.382,0.56,0.518,0.0,0.108,0.212,143.928
spotify:track:3UYn4qdsgnQlbOgYiVIyYJ,0.652,0.483,-8.92,0.246,0.931,0.0,0.0959,0.469,78.267
spotify:track:36seMHoyXmLUNxcwzwjdF7,0.55,0.271,-8.451,0.0297,0.843,3.21e-06,0.107,0.198,111.344
spotify:track:71ko8OoYdVlQHhiSYYwou8,0.806,0.341,-18.307,0.206,0.891,0.773,0.145,0.344,109.953
spotify:track:1LGFhRGycG5VI9cU8gFgVP,0.753,0.355,-13.295,0.0898,0.48,0.865,0.122,0.506,111.863
spotify:track:47k5tMDS3jLAOFE29nkfzO,0.643,0.594,-10.326,0.273,0.339,6.68e-06,0.364,0.495,206.008
spotify:track:18PHjDnMGEc2MVudN7CG9F,0.733,0.812,-8.176,0.202,0.433,0.00209,0.105,0.442,146.984
spotify:track:7FAJGCdFPNo7NyLgbGYM68,0.681,0.616,-7.949,0.263,0.368,0.0,0.375,0.669,160.073
spotify:track:2gjELujyj9OFVQZzS7lgJH,0.762,0.425,-10.131,0.0629,0.404,1.23e-06,0.111,0.0721,140.05
spotify:track:2ujHInqP3YZ1EZF2THczet,0.789,0.656,-8.559,0.108,0.28,0.0,0.179,0.0593,141.996
spotify:track:1jH1gS5JPrvXxdLxHGBxy8,0.743,0.559,-8.196,0.0443,0.162,0.000859,0.0974,0.353,120.023
spotify:track:0ru4AhwSssO485ZQ1d3V2p,0.811,0.603,-6.306,0.156,0.468,1.82e-05,0.11,0.156,140.119
spotify:track:4UKCKdYiLN6IMA5ZESUTL7,0.699,0.304,-11.192,0.0993,0.779,0.000993,0.137,0.271,119.705
spotify:track:6ph1Q5pONWARCiSX8Ua6JE,0.708,0.594,-8.283,0.0745,0.407,0.0,0.139,0.306,109.922
spotify:track:25yup6WYnPoITrfzhkBLmt,0.805,0.479,-9.238,0.363,0.182,3.41e-06,0.346,0.363,80.454
spotify:track:2TfoabXa0CbEwcqpxOn9z3,0.745,0.664,-5.476,0.235,0.322,0.0,0.851,0.526,121.083
spotify:track:32ba0Jf4FfjK5mZOy0Mctq,0.862,0.357,-20.128,0.306,0.502,4.78e-05,0.0955,0.519,140.026
spotify:track:7CcPttAk27UP2iR21ofxi4,0.834,0.368,-9.177,0.132,0.917,0.0,0.099,0.454,90.983
spotify:track:7J0aVprIHC5OHCYLYYZKOC,0.479,0.278,-15.61,0.399,0.965,2.11e-05,0.104,0.663,175.182
spotify:track:2yZax79pOrYuyIFVW2cZY2,0.735,0.197,-13.378,0.537,0.768,0.000276,0.296,0.383,147.899
spotify:track:3GVkPk8mqxz0itaAriG1L7,0.734,0.57,-7.066,0.133,0.847,2.14e-05,0.112,0.689,129.953
spotify:track:0VDGdN6p16yj6Nm47HYnVR,0.867,0.0793,-22.589,0.0931,0.517,0.0,0.103,0.262,110.011
spotify:track:7svpAkwc6xaSxlbZ7V7JiS,0.529,0.353,-12.835,0.0292,0.788,0.853,0.116,0.0601,104.557
spotify:track:49MMefftWPcltNP4OOJGSs,0.453,0.209,-11.917,0.223,0.587,0.0,0.119,0.216,169.316
spotify:track:7m9OqQk4RVRkw9JJdeAw96,0.872,0.391,-9.144,0.242,0.469,4.13e-06,0.297,0.437,134.021
spotify:track:4H6uJnjhyjxDw1F4jR8irF,0.461,0.612,-8.645,0.522,0.15,0.0,0.086,0.0374,168.504
spotify:track:7A0T4eb6jPhhQp3KQis6ww,0.75,0.227,-16.255,0.236,0.76,0.125,0.135,0.416,100.163
spotify:track:35PSo9naZwUlcEQaut6I7j,0.562,0.161,-22.43,0.43,0.907,0.0,0.0766,0.101,126.238
spotify:track:62y5kRqoeYPrGbVnffSUW1,0.65,0.582,-8.461,0.466,0.448,0.0,0.0887,0.374,112.02
spotify:track:5O6ZwpKvxr1HrZNw8yqRuY,0.416,0.452,-10.97,0.107,0.521,0.000299,0.0436,0.114,123.397
spotify:track:5MsydV2Ii4A7r85gSgh90x,0.591,0.488,-11.178,0.16,0.358,0.0,0.357,0.362,109.9
spotify:track:0Qj2Mf1p69Brx9GVFNRnIT,0.703,0.34,-14.309,0.209,0.645,0.0071,0.106,0.0992,107.943
spotify:track:4g2WiijzSKzH8PApKDbadN,0.415,0.104,-11.83,0.0426,0.955,3.79e-06,0.104,0.18,82.006
spotify:track:4G9kNnIG1z65Y6EIrJ6WXG,0.455,0.559,-11.35,0.41,0.243,0.000134,0.115,0.207,167.82
spotify:track:14JzyD6FlBD5z0wV5P07YI,0.498,0.104,-14.08,0.0621,0.979,7.86e-05,0.0895,0.205,124.001
spotify:track:2U8tH2LXMh5EQvI6oBhSHJ,0.798,0.613,-9.037,0.204,0.363,0.0,0.762,0.229,97.013
spotify:track:4W8sUeokQKfHt1uTXp0Jq0,0.83,0.583,-2.052,0.0412,0.0563,0.0005,0.109,0.146,134.0
spotify:track:2UYLRWh4H4m4vqEzpk5ujo,0.657,0.569,-6.712,0.235,0.452,0.0,0.174,0.41,98.777
spotify:track:3fdpZTX5sBtivbLeM1MEsi,0.688,0.385,-10.438,0.569,0.85,0.0,0.107,0.763,102.094
spotify:track:5tSreeJCyP6C7qEumxIvTO,0.706,0.315,-11.513,0.507,0.935,1.43e-06,0.0801,0.663,129.804
spotify:track:7qEHsqek33rTcFNT9PFqLf,0.501,0.405,-5.679,0.0319,0.751,0.0,0.105,0.446,109.891
spotify:track:0udE0L5m7er6DH97AmhSdn,0.674,0.275,-11.13,0.485,0.84,0.0,0.0899,0.79,110.292
spotify:track:3Z2gsW9I3oz3fYNSCqprOV,0.792,0.413,-15.023,0.0642,0.87,0.495,0.275,0.545,112.995
spotify:track:4e976XuKarIfZAa9RIaaZG,0.513,0.25,-14.291,0.313,0.899,0.885,0.114,0.45,185.654
spotify:track:5V2zkdP7nOmnSOhTD7TXy8,0.892,0.24,-14.154,0.14,0.854,0.000137,0.0902,0.42,109.973
spotify:track:6Tt9PBM6oWGwVnxyzuM84j,0.703,0.386,-11.447,0.0672,0.0645,1.55e-06,0.257,0.192,124.117
spotify:track:7iTYXBv6yqU7AFcxLKjlPD,0.66,0.383,-9.781,0.0359,0.908,0.0,0.106,0.173,129.959
spotify:track:1ufGqwim7RHxVsdaxuLmAY,0.719,0.387,-9.38,0.0643,0.891,0.0,0.114,0.17,135.064
spotify:track:3ldHQALvRnx28a4paD9Etr,0.373,0.362,-14.856,0.0792,0.982,0.0137,0.143,0.212,84.89
spotify:track:6KA2YcsQZlQD8f8uvKjPXw,0.667,0.446,-10.801,0.38,0.892,0.0,0.101,0.311,76.53
spotify:track:4W9um2P0mOY9QwxQY9GS2F,0.541,0.313,-11.849,0.0341,0.598,0.0,0.0989,0.317,119.884
spotify:track:5e8DUgWO5Zt96FN66VTyoo,0.543,0.268,-17.464,0.0862,0.577,0.000702,0.286,0.118,174.018
